23986,0.05,0.05,144,26091,96,7,7,137,88
88406,0.05,0.05,144,47302,123,7,6,137,116
40102,0.05,0.05,144,59157,145,7,7,137,137
61593,0.05,0.05,144,106654,145,7,7,137,137
59001,0.05,0.05,144,32206,119,7,7,137,111
70926,0.05,0.05,144,48564,145,7,7,137,137
87405,0.05,0.05,144,136949,145,7,7,137,137
68967,0.05,0.05,144,91740,111,7,7,137,103
85453,0.05,0.05,144,52209,145,7,7,137,137
23922,0.05,0.05,144,66210,145,7,7,137,137
85350,0.05,0.05,144,49189,145,7,7,137,137
80269,0.05,0.05,144,38932,144,7,7,137,136
63518,0.05,0.05,144,57437,72,7,7,137,64
93927,0.05,0.05,144,56457,144,7,7,137,136
74252,0.05,0.05,144,44886,145,7,7,137,137
15300,0.05,0.05,144,61199,134,7,7,137,126
61968,0.05,0.05,144,42364,145,7,7,137,137
98478,0.05,0.05,144,44944,144,7,7,137,136
55149,0.05,0.05,144,52953,94,7,7,137,86
19955,0.05,0.05,144,48748,145,7,7,137,137
38002,0.05,0.05,144,50489,123,7,7,137,115
54095,0.05,0.05,144,41186,115,7,7,137,107
78946,0.05,0.05,144,52436,85,7,7,137,77
36805,0.05,0.05,144,52919,78,7,6,137,71
80355,0.05,0.05,144,55272,134,7,7,137,126
45452,0.05,0.15,144,42212,100,7,7,137,92
75137,0.05,0.15,144,40899,88,7,7,137,80
47607,0.05,0.15,144,65380,145,7,7,137,137
95631,0.05,0.15,144,61131,139,7,7,137,131
82937,0.05,0.15,144,63879,145,7,7,137,137
64448,0.05,0.15,144,33185,127,7,7,137,119
18592,0.05,0.15,144,38762,91,7,7,137,83
97681,0.05,0.15,144,84849,145,7,7,137,137
34326,0.05,0.15,144,44365,144,7,7,137,136
99929,0.05,0.15,144,77776,145,7,7,137,137
65667,0.05,0.15,144,53339,145,7,7,137,137
47170,0.05,0.15,144,43304,145,7,7,137,137
44537,0.05,0.15,144,47555,145,7,7,137,137
11621,0.05,0.15,144,27999,88,7,7,137,80
16824,0.05,0.15,144,39001,123,7,7,137,115
48102,0.05,0.15,144,81653,41,7,7,137,33
12021,0.05,0.15,144,104650,129,7,7,137,121
76668,0.05,0.15,144,70078,122,7,7,137,114
27421,0.05,0.15,144,26135,110,7,7,137,102
28000,0.05,0.15,144,78177,142,7,7,137,134
98507,0.05,0.15,144,68678,145,7,7,137,137
49102,0.05,0.15,144,26732,109,7,7,137,101
12433,0.05,0.15,144,36898,86,7,7,137,78
95285,0.05,0.15,144,43737,144,7,7,137,136
37640,0.05,0.15,144,23713,100,7,7,137,92
77181,0.05,0.25,144,46245,144,7,7,137,136
22234,0.05,0.25,144,40336,57,7,7,137,49
10381,0.05,0.25,144,37052,88,7,7,137,80
80333,0.05,0.25,144,47448,95,7,7,137,87
12290,0.05,0.25,144,50244,135,7,7,137,127
84551,0.05,0.25,144,65830,145,7,7,137,137
97120,0.05,0.25,144,32113,101,7,7,137,93
10205,0.05,0.25,144,73315,145,7,7,137,137
61863,0.05,0.25,144,56782,94,7,7,137,86
39610,0.05,0.25,144,74154,145,7,7,137,137
87278,0.05,0.25,144,69255,145,7,7,137,137
64941,0.05,0.25,144,41864,145,7,7,137,137
62262,0.05,0.25,144,34675,102,7,7,137,94
52658,0.05,0.25,144,56018,118,7,6,137,111
92283,0.05,0.25,144,89964,133,7,7,137,125
59924,0.05,0.25,144,37645,145,7,7,137,137
33063,0.05,0.25,144,52521,145,7,7,137,137
51912,0.05,0.25,144,65184,91,7,7,137,83
13205,0.05,0.25,144,42536,145,7,7,137,137
16899,0.05,0.25,144,59862,81,7,7,137,73
36901,0.05,0.25,144,67820,145,7,7,137,137
41307,0.05,0.25,144,27919,145,7,7,137,137
64315,0.05,0.25,144,65440,145,7,7,137,137
68947,0.05,0.25,144,37671,111,7,7,137,103
70025,0.05,0.25,144,142812,92,7,7,137,84
91319,0.05,0.35,144,36626,145,7,7,137,137
28957,0.05,0.35,144,29136,98,7,7,137,90
52645,0.05,0.35,144,80177,116,7,7,137,108
