16515,144,0.16666666666666666,119,96,one-to-many,75,13008,48,43,0.3333333333333333
22662,144,0.08333333333333333,124,96,one-to-many,79,72360,48,44,0.3333333333333333
17577,144,0.3333333333333333,88,96,one-to-many,52,79545,48,35,0.3333333333333333
24278,144,0.08333333333333333,129,96,one-to-one,83,91819,48,45,0.3333333333333333
31791,144,0.041666666666666664,145,96,one-to-one,96,34347,48,48,0.3333333333333333
31984,144,0.16666666666666666,140,96,one-to-one,92,45928,48,47,0.3333333333333333
10421,144,0.16666666666666666,118,96,one-to-one,74,32928,48,43,0.3333333333333333
38727,144,0.020833333333333332,145,96,one-to-many,96,92787,48,48,0.3333333333333333
42377,144,0.041666666666666664,131,96,one-to-many,84,47044,48,46,0.3333333333333333
43929,144,0.020833333333333332,120,96,one-to-many,79,75977,48,40,0.3333333333333333
45068,144,0.041666666666666664,145,96,one-to-one,96,64746,48,48,0.3333333333333333
10515,144,0.16666666666666666,132,96,one-to-many,86,38176,48,45,0.3333333333333333
39085,144,0.3333333333333333,89,96,one-to-one,50,85055,48,38,0.3333333333333333
14857,144,0.16666666666666666,135,96,one-to-many,87,83434,48,47,0.3333333333333333
14607,144,0.08333333333333333,124,96,one-to-one,78,55471,48,45,0.3333333333333333
59298,144,0.006944444444444444,144,96,one-to-one,96,36446,48,47,0.3333333333333333
53390,144,0.16666666666666666,81,96,one-to-one,42,91425,48,38,0.3333333333333333
33194,144,0.08333333333333333,97,96,one-to-many,61,31059,48,35,0.3333333333333333
26726,144,0.041666666666666664,143,96,one-to-many,95,87509,48,47,0.3333333333333333
66362,144,0.020833333333333332,145,96,one-to-one,96,91101,48,48,0.3333333333333333
59215,144,0.16666666666666666,71,96,one-to-many,42,75778,48,28,0.3333333333333333
71121,144,0.013888888888888888,145,96,one-to-many,96,70370,48,48,0.3333333333333333
32974,144,0.041666666666666664,114,96,one-to-one,78,86776,48,35,0.3333333333333333
73636,144,0.020833333333333332,145,96,one-to-one,96,61798,48,48,0.3333333333333333
15793,144,0.3333333333333333,106,96,one-to-many,60,26695,48,45,0.3333333333333333
42791,144,0.3333333333333333,117,96,one-to-one,72,94326,48,44,0.3333333333333333
16487,144,0.08333333333333333,111,96,one-to-one,71,12085,48,39,0.3333333333333333
16838,144,0.16666666666666666,141,96,one-to-one,93,23621,48,47,0.3333333333333333
12403,144,0.3333333333333333,104,96,one-to-one,64,91136,48,39,0.3333333333333333
23834,144,0.08333333333333333,104,96,one-to-many,70,24962,48,33,0.3333333333333333
